,continent,country_name,country_code_iso2,region_name,city_name,city_code,city_image_url,airport_name,airport_code_IATA,airport_type,airport_lat,airport_lon
77,EU,Italy,IT,Trieste,Trieste,TRIE,https://content.skyscnr.com/153de701476d5bc8cd228c85955e4a8d/GettyImages-484950503.jpg,Trieste–Friuli Venezia Giulia Airport,TRS,medium_airport,45.827499,13.4722
78,EU,Italy,IT,Rome,Rome,ROME,https://content.skyscnr.com/562fb1d3b394e92393671562fe241138/stock-photo-st-peter-s-basilica-83184691.jpg,Ciampino–G. B. Pastine International Airport,CIA,large_airport,41.7994,12.5949
79,EU,Italy,IT,Rome,Rome,ROME,https://content.skyscnr.com/562fb1d3b394e92393671562fe241138/stock-photo-st-peter-s-basilica-83184691.jpg,Leonardo da Vinci–Fiumicino Airport,FCO,large_airport,41.8002778,12.2388889
80,EU,Italy,IT,Naples,Nápoli,NAPL,https://content.skyscnr.com/m/0f141bf76cf06068/Large-napl_139999980_doc.jpg,Naples International Airport,NAP,large_airport,40.886002,14.2908
81,EU,Slovenia,SI,Ljubljana,Ljubljana,LJUB,https://content.skyscnr.com/119b73c5f7597401e98579c81634e8e5/GettyImages-495685019.jpg,Ljubljana Jože Pučnik Airport,LJU,large_airport,46.223701,14.4576
82,EU,Czechia,CZ,Prague,Prague,PRAG,https://content.skyscnr.com/6f3779016c23190fadcdc6f500f5dc11/GettyImages-464420602.jpg,Václav Havel Airport Prague,PRG,large_airport,50.1008,14.26
83,AS,Israel,IL,Tel Aviv,Tel Aviv,TELA,https://content.skyscnr.com/f5c3712b7fe4d1bdbb7e84261abbf904/GettyImages-486858743.jpg,Ben Gurion International Airport,TLV,large_airport,32.01139832,34.88669968
84,EU,Malta,MT,Valletta,Valletta,MLAA,https://content.skyscnr.com/m/8065ff02c4914c/original/Valletta-aerial-shot.jpg,Malta International Airport,MLA,large_airport,35.857498,14.4775
85,EU,Portugal,PT,Porto,Porto,PORT,https://content.skyscnr.com/933c6cedb8bc5ea82505271747cf3707/porto.jpg,Francisco de Sá Carneiro Airport,OPO,large_airport,41.24810028,-8.681389809
86,EU,Portugal,PT,Lisbon,Lisbon,LISB,https://content.skyscnr.com/e48dd065c801bef1b761c506a5a2fde9/GettyImages-467824014.jpg,Humberto Delgado Airport (Lisbon Portela Airport),LIS,large_airport,38.7813,-9.13592
87,EU,Bosnia and Herzegovina,BA,Sarajevo,Sarajevo,SARA,https://content.skyscnr.com/49e574742f759ce4dd8d0d6d48e57d40/GettyImages-480404012.jpg,Sarajevo International Airport,SJJ,large_airport,43.82460022,18.3314991
88,EU,Romania,RO,Cluj-Napoca,Cluj-Napoca,CLUJ,https://content.skyscnr.com/e2c4ce717878fc7ea04e0a72d00c023d/GettyImages-502724313.jpg,Cluj-Napoca International Airport,CLJ,medium_airport,46.78519821,23.68619919
89,EU,Romania,RO,Iasi,Iaşi,IASI,https://content.skyscnr.com/4897ee326c41f194189be4a10fac9785/GettyImages-508830832.jpg,Iaşi Airport,IAS,medium_airport,47.17850113,27.62059975
90,EU,Romania,RO,Bucharest,Bucharest,BUCH,https://content.skyscnr.com/m/4dc3cee04825a86f/original/GettyImages-149110112_doc.jpg,Henri Coandă International Airport,OTP,large_airport,44.5711111,26.085
91,EU,Romania,RO,Sibiu,Sibiu,SIBI,https://content.skyscnr.com/dce169877fc4c05c5d0c983d67647467/GettyImages-507292252.jpg,Sibiu International Airport,SBZ,medium_airport,45.78559875,24.09129906
92,EU,Romania,RO,Suceava Salcea,Suceava,SUCE,,Suceava Stefan cel Mare Airport,SCV,medium_airport,47.6875,26.35409927
93,EU,North Macedonia,MK,Skopje,Skopje,SKOP,https://content.skyscnr.com/690e1d8632f1ac1e07c4cf957c4964fb/GettyImages-476208185.jpg,Skopje Alexander the Great Airport,SKP,large_airport,41.961601,21.621401
94,EU,Serbia,RS,Belgrade,Belgrade,BELI,https://content.skyscnr.com/d1831c1a59e1ea608773be52b099f7b4/GettyImages-177007038.jpg,Belgrade Nikola Tesla Airport,BEG,large_airport,44.81840134,20.3090992
95,EU,Serbia,RS,Nis,Nis,NISI,,Nis Airport,INI,medium_airport,43.337299,21.853701
96,EU,Montenegro,ME,Podgorica,Podgorica,PODG,https://content.skyscnr.com/f71a8075838fbaae6be68304d1eaab4a/GettyImages-479863398.jpg,Podgorica Airport,TGD,large_airport,42.359402,19.2519
97,EU,Montenegro,ME,Tivat,Tivat,TIVA,https://content.skyscnr.com/d59e71ab895abcc7212b4920f7e8abe9/GettyImages-468534036.jpg,Tivat Airport,TIV,medium_airport,42.40470123,18.72330093
98,EU,Slovakia,SK,Bratislava,Bratislava,BRAS,https://content.skyscnr.com/306b82b70a621c16a4ff68497efca061/GettyImages-530970203.jpg,M. R. Štefánik Airport,BTS,large_airport,48.17020035,17.21269989
0,EU,Belgium,BE,Brussels,Brussels,BRUS,https://content.skyscnr.com/7f99e0b77af76bf7e89a614cba3a1d9d/GettyImages-517851449.jpg,Brussels Airport,BRU,large_airport,50.9014015198,4.48443984985
1,EU,Italy,IT,Alghero Sardinia,Alghero,ALGS,https://content.skyscnr.com/0ebceb814d5354db3f9983515e72422e/Alghero%20Sardinia-GettyImages-638337502.jpg,Alghero-Fertilia Airport,AHO,medium_airport,40.632099,8.29077
2,EU,Italy,IT,Crotone,Crotone,CORT,https://content.skyscnr.com/d3adfb5b0ca6b67668b1cf8857eff065/GettyImages-153908030.jpg,Crotone Airport,CRV,medium_airport,38.9972,17.0802
3,EU,Italy,IT,Pantelleria,Pantelleria (TP),PANT,https://content.skyscnr.com/m/388061d8c21da72e/original/pantelleria-paolo-chiabrando-KOHagr1ulTc-unsplash.jpg,Pantelleria Airport,PNL,medium_airport,36.816502,11.9689
4,EU,Italy,IT,Comiso,Comiso,COMI,https://content.skyscnr.com/m/42b54af554dee665/original/eyeem-26694340-128610118.jpg,Comiso Airport,CIY,medium_airport,36.994601,14.607182
5,EU,United Kingdom,UK,Glasgow,Glasgow,GLAS,https://content.skyscnr.com/m/4bdef18c56343ca1/original/Kelvingrove-glasgow.jpg,Glasgow International Airport,GLA,large_airport,55.8718986511,-4.43306016922
6,EU,United Kingdom,UK,Birmingham,Birmingham,BIRM,https://content.skyscnr.com/02167c9faf5b31748675b0f2cff5ad1e/stock-photo-gas-street-basin-the-cube-97809537.jpg,Birmingham International Airport,BHX,large_airport,52.4538993835,-1.74802994728
7,EU,Austria,AT,Vienna,Vienna,VIEN,https://content.skyscnr.com/c3d9e32c87a63471a568e70fc46e23e6/stock-photo-rathaus-101407839.jpg,Vienna International Airport,VIE,large_airport,48.110298156738,16.569700241089
8,EU,Netherlands,NL,Amsterdam,Amsterdam,AMST,https://content.skyscnr.com/fa0912c6ed6f75f0607dfc080359a021/amsterdam.jpg,Amsterdam Airport Schiphol,AMS,large_airport,52.308601,4.76389
9,EU,Spain,ES,Zaragoza,Zaragoza,ZARA,https://content.skyscnr.com/06189bcba4b14787566375887dbd7291/GettyImages-463461929.jpg,Zaragoza Air Base,ZAZ,medium_airport,41.66619873046875,-1.0415500402450562
10,EU,Spain,ES,Bilbao,Bilbao,BILB,https://content.skyscnr.com/060f28eebcfc6402d8ab9c887c295ff6/GettyImages-176437830.jpg,Bilbao Airport,BIO,medium_airport,43.30110168457031,-2.9106099605560303
11,EU,Spain,ES,Santander,Santander,SANT,https://content.skyscnr.com/364a15bf843b1cbaff238b40d2ba0626/GettyImages-473550916.jpg,Santander Airport,SDR,medium_airport,43.42710113525391,-3.82000994682312
12,EU,Spain,ES,Menorca,Menorca Island,MENO,https://content.skyscnr.com/cc3d610f7586a1f3da7df041da3e0f31/menorca.jpg,Menorca Airport,MAH,medium_airport,39.86259841918945,4.218649864196777
13,EU,Iceland,IS,Reykjavik,Reykjavík,REYK,https://content.skyscnr.com/b6c9eab07efe88e1533e7cbbbb13fa89/GettyImages-529240739.jpg,Keflavik International Airport,KEF,large_airport,63.985000610352,-22.605600357056
14,EU,Sweden,SE,Stockholm,Stockholm,STOC,https://content.skyscnr.com/ff74ff6df34c2b06f6f895e14fe32512/GettyImages-100891056.jpg,Stockholm-Arlanda Airport,ARN,large_airport,59.651901245117,17.918600082397
15,AF,Morocco,MA,Casablanca,Casablanca,CASA,https://content.skyscnr.com/cdb4c2556aaa2364d88f402833607574/hassan-ii-mosque-8.jpg,Mohammed V International Airport,CMN,large_airport,33.36750030517578,-7.589970111846924
16,EU,Germany,DE,Nuremberg,Nuremberg,NURE,https://content.skyscnr.com/e48251a9a6bc5fb19b4d612976766e72/GettyImages-99203898.jpg,Nuremberg Airport,NUE,large_airport,49.498699,11.078056
17,EU,Germany,DE,Dusseldorf,Düsseldorf,DUSS,https://content.skyscnr.com/79e529e0b33906841f37364d885a83ee/dusseldorf-germany.jpg,Düsseldorf Airport,DUS,large_airport,51.289501,6.76678
18,EU,Germany,DE,Hamburg,Hamburg,HAMB,https://content.skyscnr.com/8bfb9acbb92ca01dfa277260d6e7e153/stock-photo-speicherstadt-at-night-78880815.jpg,Hamburg Airport,HAM,large_airport,53.630401611328,9.9882297515869
19,EU,Finland,FI,Helsinki,Helsinki,HELS,https://content.skyscnr.com/abf57ba904ff957e24eb5e630dfcb9a6/helsinki-2015-11.jpg,Helsinki Vantaa Airport,HEL,large_airport,60.317199707031,24.963300704956
20,EU,France,FR,Marseille,Marseille,MARS,https://content.skyscnr.com/m/55550e4064300ca1/Large-eyeem-26694340-128693747.jpg,Marseille Provence Airport,MRS,large_airport,43.439271922,5.22142410278
21,EU,France,FR,Toulouse,Toulouse/Blagnac,TOUS,https://content.skyscnr.com/65dafcf41a15bb8cc11a79001a6ff08c/eyeem-26694340-103869478.jpg,Toulouse-Blagnac Airport,TLS,large_airport,43.629101,1.36382
22,EU,France,FR,Nantes,Nantes,NANT,https://content.skyscnr.com/a6a06dfb626e88cb883e75e6adef6a82/GettyImages-468108414.jpg,Nantes Atlantique Airport,NTE,medium_airport,47.153198242200006,-1.61073005199
23,EU,France,FR,Lourdes,Tarbes/Lourdes/Pyrénées,LOUR,https://content.skyscnr.com/c49d48ddea20005a810a7f857e32ece4/GettyImages-152055513.jpg,Tarbes-Lourdes-Pyrénées Airport,LDE,medium_airport,43.1786994934082,-0.0064389999024569
24,EU,France,FR,Lyon,Lyon,LYON,https://content.skyscnr.com/27326e6ca8b8ed01ebf7ed992dda6089/GettyImages-181391682.jpg,Lyon Saint-Exupéry Airport,LYS,large_airport,45.725556,5.081111
25,EU,Poland,PL,Katowice,Katowice,KATO,https://content.skyscnr.com/717354cff20de80c11a1c36aa9322b17/GettyImages-177509489.jpg,Katowice International Airport,KTW,large_airport,50.4743,19.08
26,EU,Poland,PL,Gdansk,Gdańsk,GADA,https://content.skyscnr.com/d1a92e9f1873e310438eff1d7af8fe8e/GettyImages-484214866.jpg,Gdańsk Lech Wałęsa Airport,GDN,large_airport,54.37760162353516,18.46619987487793
27,EU,Luxembourg,LU,Luxembourg,Luxembourg,LUXE,https://content.skyscnr.com/a9c8f71cc409e74513aaf64dc4e75c66/GettyImages-510613019.jpg,Luxembourg-Findel International Airport,LUX,large_airport,49.6233333,6.2044444
28,EU,Estonia,EE,Tallinn,Tallinn,TALL,https://content.skyscnr.com/015db17d03bdfab43a01ed7ff17da6ab/tallinn-31.jpg,Lennart Meri Tallinn Airport,TLL,large_airport,59.41329956049999,24.8327999115
29,EU,Ireland,IE,Cork,Cork,CORK,https://content.skyscnr.com/4c7c10bd9a9271cea8d08484a16ff054/eyeem-26694340-92404957.jpg,Cork Airport,ORK,large_airport,51.84130096435547,-8.491109848022461
30,EU,Denmark,DK,Copenhagen,Copenhagen,COPE,https://content.skyscnr.com/d22c8f93938b699739ba5e9d682019af/GettyImages-474603829.jpg,Copenhagen Kastrup Airport,CPH,large_airport,55.617900848389,12.656000137329
31,EU,Norway,NO,Oslo,Oslo,OSLO,https://content.skyscnr.com/8ab21fe9e704f373e61689e635e63c60/GettyImages-498373538.jpg,Oslo Gardermoen Airport,OSL,large_airport,60.193901062012,11.100399971008
32,EU,Greece,GR,Samos,Samos Island,SAMO,https://content.skyscnr.com/df52d2430c81325627a43bc115ecd55a/GettyImages-515583235.jpg,Samos Airport,SMI,medium_airport,37.68999862670898,26.911699295043945
33,EU,Greece,GR,Preveza,Preveza/Lefkada,PREV,https://content.skyscnr.com/c7677bc2ddbcc1137b2b241fa73b34e4/GettyImages-177011027.jpg,Aktion National Airport,PVK,medium_airport,38.92549896240234,20.765300750732425
34,EU,Greece,GR,Skiathos,Skiathos,SKIA,https://content.skyscnr.com/1ee308075cd780dd3f4a54c7ebc5cee5/GettyImages-173505269.jpg,Skiathos Island National Airport,JSI,medium_airport,39.17710113525391,23.503700256347656
35,EU,Greece,GR,Rhodes,Rodes Island,RHOD,https://content.skyscnr.com/820d86000a71983d9be3142eef9520ad/GettyImages-457042629.jpg,Diagoras Airport,RHO,medium_airport,36.405399322509766,28.086200714111328
36,EU,Greece,GR,Karpathos,Karpathos Island,KARP,https://content.skyscnr.com/7996b96d2070419823aae011598b3e7b/GettyImages-520688121.jpg,Karpathos Airport,AOK,medium_airport,35.4213981628418,27.145999908447266
37,EU,Greece,GR,Zante (Zakynthos),Zakynthos Island,ZAKI,https://content.skyscnr.com/1918c9294f49446aa5f2b0fb74277476/gettyimages167462321.jpg,"Zakynthos International Airport ""Dionysios Solomos""",ZTH,medium_airport,37.7509,20.8843
38,EU,Greece,GR,Santorini (Thira),Santorini Island,THIR,https://content.skyscnr.com/b8ee8b55e33d881fb6ee3c139958b35f/GettyImages-484830108.jpg,Santorini Airport,JTR,medium_airport,36.399200439453125,25.47929954528809
39,EU,Greece,GR,Argostoli,Kefallinia Island,ARGO,https://content.skyscnr.com/m/2ff3b59101f83111/Large-eyeem-26694340-128416185.jpg,Kefallinia Airport,EFL,medium_airport,38.12009811401367,20.5004997253418
40,EU,Greece,GR,Kalamata,Kalamata,KALA,https://content.skyscnr.com/8d36127b464a51e1d72a0e103bb3c5c0/GettyImages-520439283.jpg,Kalamata Airport,KLX,medium_airport,37.06829833984375,22.02549934387207
41,AS,Türkiye (Turkey),TR,Istanbul,Istanbul,ISTA,https://content.skyscnr.com/m/364d135dc232411/original/Istanbul-postcard.jpg,Sabiha Gökçen International Airport,SAW,large_airport,40.898601532,29.3092002869
0,EU,United Kingdom,UK,Liverpool,Liverpool,LIVE,https://content.skyscnr.com/4d8148466079a5be8a7417ab17bc596f/GettyImages-470715430.jpg,Liverpool John Lennon Airport,LPL,large_airport,53.33359909057617,-2.849720001220703
1,EU,Sweden,SE,Stockholm,Stockholm / Nyköping,STOC,https://content.skyscnr.com/ff74ff6df34c2b06f6f895e14fe32512/GettyImages-100891056.jpg,Stockholm Skavsta Airport,NYO,medium_airport,58.78860092163086,16.912200927734375
2,EU,Germany,DE,Munich,Munich,MUNI,https://content.skyscnr.com/de0da70e0c97e398d73cc371eb8b6cc3/GettyImages-481909461.jpg,Munich Airport,MUC,large_airport,48.353802,11.7861
3,EU,Germany,DE,Munich,Munich,MUNI,https://content.skyscnr.com/de0da70e0c97e398d73cc371eb8b6cc3/GettyImages-481909461.jpg,Flughafen München-Riem,MUC,closed,48.137798309,11.69029999
4,AS,Jordan,JO,Aqaba,Aqaba,AQJA,https://content.skyscnr.com/m/22a95f5f427858c9/original/shutterstock_173518790.jpg,Aqaba King Hussein International Airport,AQJ,medium_airport,29.61160087585449,35.01810073852539
5,AS,United Arab Emirates,AE,Abu Dhabi,Abu Dhabi,AUHA,https://content.skyscnr.com/95e788b8a9a31c866ccf05e62c47d54a/GettyImages-467187687.jpg,Abu Dhabi International Airport,AUH,large_airport,24.433000564575195,54.651100158691406
6,EU,Switzerland,CH,Geneva,Geneva,GENE,https://content.skyscnr.com/ac5054692e970b4403945168ccc6aa0c/GettyImages-96654976.jpg,Geneva Cointrin International Airport,GVA,large_airport,46.23809814453125,6.108950138092041
0,EU,Germany,DE,Frankfurt,Frankfurt am Main,FRAN,https://content.skyscnr.com/e286ff180a40d9376f18c9c2b314565f/GettyImages-510973985.jpg,Frankfurt am Main Airport,FRA,large_airport,50.033333,8.570556
1,AS,Türkiye (Turkey),TR,Antalya,Antalya,ANTA,https://content.skyscnr.com/m/6f2cbf7c2ab90059/original/Kaputas-Antalya-postcard.jpg,Antalya International Airport,AYT,large_airport,36.898701,30.800501
0,EU,Romania,RO,Timișoara,Timişoara,TIMI,https://content.skyscnr.com/m/7ef91e4df199acc6/original/timisoara-217377_1280.jpg,Timişoara Traian Vuia Airport,TSR,medium_airport,45.809898376464844, 21.337900161743164
