,Id,Direct,Name,CountryName,ImageUrl,HolidayUrl,IndirectPrice,HotelUrl,DirectPrice,IndirectQuoteDateTime,DirectQuoteDateTime,HotelPrice
0,NEWQ,False,Newquay,United Kingdom,https://content.skyscnr.com/512c3b4a0d533d92ee8f2aca0f2e2872/GettyImages-472989352.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/newquay-holidays/cia-27545149,0.0,/hotels/search?entity_id=27545149&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
1,LOND,True,London,United Kingdom,https://content.skyscnr.com/m/1a55403f63baf856/Large-London-England-Aug-2017-Brendan-van-Son-5.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/london-holidays/cia-27544008,23.0,/hotels/search?entity_id=27544008&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,11.0,2021-11-12T11:34:00,2021-11-13T04:01:00,
2,LIVE,False,Liverpool,United Kingdom,https://content.skyscnr.com/4d8148466079a5be8a7417ab17bc596f/GettyImages-470715430.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/liverpool-holidays/cia-27544132,42.0,/hotels/search?entity_id=27544132&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-09T08:03:00,,
3,NOTT,False,Nottingham,United Kingdom,https://content.skyscnr.com/08b29dbfb6c59f348c6ff686b73083aa/GettyImages-121081723.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/nottingham-holidays/cia-27548327,0.0,/hotels/search?entity_id=27548327&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
4,BOUR,False,Bournemouth,United Kingdom,https://content.skyscnr.com/4561c7e0759f5d8c6761a39877f5e4c2/GettyImages-527690869.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/bournemouth-holidays/cia-27539516,0.0,/hotels/search?entity_id=27539516&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
5,BRIS,True,Bristol,United Kingdom,https://content.skyscnr.com/93b3b0db087d3993d4f57e7fbb17e507/GettyImages-461988835.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/bristol-holidays/cia-27539564,25.0,/hotels/search?entity_id=27539564&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,54.0,2021-11-10T11:38:00,2021-11-13T05:22:00,
6,MANC,True,Manchester,United Kingdom,https://content.skyscnr.com/d05e3e7b0fbfb30e92dbd8e2839b00b0/GettyImages-465556436.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/manchester-holidays/cia-27544856,,/hotels/search?entity_id=27544856&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,21.0,,2021-11-10T11:17:00,
7,BIRM,False,Birmingham,United Kingdom,https://content.skyscnr.com/02167c9faf5b31748675b0f2cff5ad1e/stock-photo-gas-street-basin-the-cube-97809537.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/birmingham-holidays/cia-27538786,34.0,/hotels/search?entity_id=27538786&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-10T15:52:00,,
8,NEWC,False,Newcastle,United Kingdom,https://content.skyscnr.com/b803a8189485627a03bb3736ac7f765c/GettyImages-510958054.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/newcastle-holidays/cia-27545092,65.0,/hotels/search?entity_id=27545092&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-09T15:02:00,,
9,LEED,False,Leeds,United Kingdom,https://content.skyscnr.com/1ff357af8efc93f3c8c1f4a886942b5e/GettyImages-515150108.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/leeds-holidays/cia-32834087,0.0,/hotels/search?entity_id=32834087&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
10,EDIN,True,Edinburgh,United Kingdom,https://content.skyscnr.com/9df58c8d6e66cd62d55c804b2d7cd22e/GettyImages-506396604.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/edinburgh-holidays/cia-27540851,26.0,/hotels/search?entity_id=27540851&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,24.0,2021-11-12T14:08:00,2021-11-13T04:52:00,95.0
11,GLAS,False,Glasgow,United Kingdom,https://content.skyscnr.com/769cd8c37b872118fc66395197b5c3e2/GettyImages-516440633.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/glasgow-holidays/cia-27541852,43.0,/hotels/search?entity_id=27541852&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-12T19:25:00,,
12,CARD,False,Cardiff,United Kingdom,https://content.skyscnr.com/3ac6ba587d62c819e80a2554c7dc3894/GettyImages-478086609.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/cardiff-holidays/cia-27540629,94.0,/hotels/search?entity_id=27540629&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-12T13:41:00,,
13,ABER,False,Aberdeen,United Kingdom,https://content.skyscnr.com/3f4498322baca0397df716f33159a551/GettyImages-478376654.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/aberdeen-holidays/cia-27536433,133.0,/hotels/search?entity_id=27536433&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-11T13:19:00,,
14,BELF,False,Belfast,United Kingdom,https://content.skyscnr.com/ee377cc8c07596dca36a3cc28f74235f/GettyImages-116149884.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/belfast-holidays/cia-27538744,142.0,/hotels/search?entity_id=27538744&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-12T13:13:00,,
15,MMEA,False,Durham,United Kingdom,https://content.skyscnr.com/24cac5e0c48dadd765a8397197514cc5/GettyImages-139680538.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/durham-holidays/cia-32833958,181.0,/hotels/search?entity_id=32833958&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-09T14:05:00,,
16,EXET,False,Exeter,United Kingdom,https://content.skyscnr.com/df6578abcb7dfdc39e6f8f16b7bdb1af/GettyImages-519818875.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/exeter-holidays/cia-27540984,333.0,/hotels/search?entity_id=27540984&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-09T14:15:00,,
17,HUMB,False,Kirmington,United Kingdom,https://content.skyscnr.com/27cca5261089a4b7fd728339076726f8/Humberside-GettyImages-640242306.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/kirmington-holidays/cia-46424749,490.0,/hotels/search?entity_id=46424749&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-09T09:02:00,,
